Month,S&P500,Dividends,Earnings,CPI,10-year rate,Gold,President age,Temperature
Jan-11,9.27,0.04,0.06,9.23,0.039800,20.67,640,-0.63
Feb-11,9.43,0.04,0.06,8.94,0.039800,20.67,641,-0.58
Mar-11,9.32,0.04,0.06,9.04,0.039900,20.67,642,-0.6
Apr-11,9.28,0.04,0.06,8.75,0.039900,20.67,643,-0.53
May-11,9.48,0.04,0.06,8.75,0.039900,20.67,644,-0.52
Jun-11,9.67,0.04,0.06,8.75,0.039900,20.67,645,-0.48
Jul-11,9.63,0.04,0.05,8.85,0.040000,20.67,646,-0.41
Aug-11,9.17,0.04,0.05,9.13,0.040000,20.67,647,-0.42
Sep-11,8.67,0.04,0.05,9.23,0.040000,20.67,648,-0.37
Oct-11,8.72,0.04,0.05,9.23,0.040000,20.67,649,-0.23
Nov-11,9.07,0.04,0.05,9.13,0.040100,20.67,650,-0.18
Dec-11,9.11,0.04,0.05,9.04,0.040100,20.67,651,-0.22
Jan-12,9.12,0.04,0.05,9.13,0.040100,20.67,652,-0.26
Feb-12,9.04,0.04,0.05,9.23,0.040500,20.67,653,-0.12
Mar-12,9.3,0.04,0.05,9.42,0.040800,20.67,654,-0.35
Apr-12,9.59,0.04,0.05,9.7,0.041200,20.67,655,-0.2
May-12,9.58,0.04,0.05,9.7,0.041600,20.67,656,-0.21
Jun-12,9.58,0.04,0.05,9.61,0.041900,20.67,657,-0.26
Jul-12,9.59,0.04,0.05,9.61,0.042300,20.67,658,-0.44
Aug-12,9.81,0.04,0.06,9.7,0.042700,20.67,659,-0.55
Sep-12,9.86,0.04,0.06,9.8,0.043000,20.67,660,-0.51
Oct-12,9.84,0.04,0.06,9.8,0.043400,20.67,661,-0.56
Nov-12,9.73,0.04,0.06,9.8,0.043800,20.67,662,-0.38
Dec-12,9.38,0.04,0.06,9.7,0.044100,20.67,663,-0.43
Jan-13,9.3,0.04,0.06,9.8,0.044500,20.67,664,-0.42
Feb-13,8.97,0.04,0.06,9.8,0.044300,20.67,665,-0.43
Mar-13,8.8,0.04,0.06,9.8,0.044000,20.67,675,-0.43
Apr-13,8.79,0.04,0.06,9.8,0.043800,20.67,676,-0.39
May-13,8.55,0.04,0.06,9.7,0.043500,20.67,677,-0.47
Jun-13,8.12,0.04,0.06,9.8,0.043300,20.67,678,-0.48
Jul-13,8.23,0.04,0.05,9.9,0.043100,20.67,679,-0.36
Aug-13,8.45,0.04,0.05,9.9,0.042800,20.67,680,-0.34
Sep-13,8.53,0.04,0.05,10,0.042600,20.67,681,-0.35
Oct-13,8.26,0.04,0.05,10,0.042300,20.67,682,-0.33
Nov-13,8.05,0.04,0.05,10.1,0.042100,20.67,683,-0.19
Dec-13,8.04,0.04,0.05,10,0.041800,20.67,684,-0.03
Jan-14,8.37,0.04,0.05,10,0.041600,20.67,685,0.04
Feb-14,8.48,0.04,0.05,9.9,0.041700,20.67,686,-0.1
Mar-14,8.32,0.04,0.05,9.9,0.041700,20.67,687,-0.22
Apr-14,8.12,0.04,0.05,9.8,0.041800,20.67,688,-0.29
May-14,8.17,0.04,0.05,9.9,0.041900,20.67,689,-0.23
Jun-14,8.13,0.04,0.05,9.9,0.041900,20.67,690,-0.26
Jul-14,7.68,0.04,0.05,10,0.042000,20.67,691,-0.24
Aug-14,7.68,0.04,0.05,10.2,0.042100,20.67,692,-0.14
Sep-14,7.68,0.04,0.05,10.2,0.042100,20.67,693,-0.13
Oct-14,7.68,0.04,0.04,10.1,0.042200,20.67,694,-0.04
Nov-14,7.68,0.04,0.04,10.2,0.042300,20.67,695,-0.18
Dec-14,7.35,0.04,0.04,10.1,0.042300,20.67,696,-0.08
Jan-15,7.48,0.04,0.05,10.1,0.042400,20.67,697,-0.17
Feb-15,7.38,0.04,0.05,10,0.042200,20.67,698,0
Mar-15,7.57,0.04,0.05,9.9,0.042100,20.67,699,-0.09
Apr-15,8.14,0.04,0.05,10,0.041900,20.67,700,0.06
May-15,7.95,0.04,0.06,10.1,0.041800,20.67,701,-0.06
Jun-15,8.04,0.04,0.06,10.1,0.041600,20.67,702,-0.2
Jul-15,8.01,0.04,0.06,10.1,0.041500,20.67,703,-0.1
Aug-15,8.35,0.04,0.06,10.1,0.041300,20.67,704,-0.19
Sep-15,8.66,0.04,0.07,10.1,0.041100,20.67,705,-0.17
Oct-15,9.14,0.04,0.07,10.2,0.041000,20.67,706,-0.24
Nov-15,9.46,0.04,0.07,10.3,0.040800,20.67,707,-0.12
Dec-15,9.48,0.04,0.07,10.3,0.040700,20.67,708,-0.16
Jan-16,9.33,0.04,0.08,10.4,0.040500,20.67,709,-0.09
Feb-16,9.2,0.04,0.08,10.4,0.040700,20.67,710,-0.12
Mar-16,9.17,0.04,0.09,10.5,0.040800,20.67,711,-0.27
Apr-16,9.07,0.04,0.09,10.6,0.041000,20.67,712,-0.29
May-16,9.27,0.04,0.1,10.7,0.041100,20.67,713,-0.32
Jun-16,9.36,0.04,0.1,10.8,0.041300,20.67,714,-0.46
Jul-16,9.23,0.04,0.1,10.8,0.041400,20.67,715,-0.36
Aug-16,9.3,0.04,0.11,10.9,0.041600,20.67,716,-0.25
Sep-16,9.68,0.04,0.11,11.1,0.041700,20.67,717,-0.32
Oct-16,9.98,0.04,0.12,11.3,0.041900,20.67,718,-0.27
Nov-16,10.21,0.05,0.12,11.5,0.042000,20.67,719,-0.39
Dec-16,9.8,0.05,0.13,11.6,0.042200,20.67,720,-0.79
Jan-17,9.57,0.05,0.13,11.7,0.042300,20.67,721,-0.58
Feb-17,9.03,0.05,0.12,12,0.042600,20.67,722,-0.61
Mar-17,9.31,0.05,0.12,12,0.042900,20.67,723,-0.6
Apr-17,9.17,0.05,0.12,12.6,0.043200,20.67,724,-0.5
May-17,8.86,0.05,0.12,12.8,0.043400,20.67,725,-0.55
Jun-17,9.04,0.05,0.12,13,0.043700,20.67,726,-0.43
Jul-17,8.79,0.05,0.12,12.8,0.044000,20.67,727,-0.25
Aug-17,8.53,0.05,0.11,13,0.044300,20.67,728,-0.21
Sep-17,8.12,0.05,0.11,13.3,0.044600,20.67,729,-0.18
Oct-17,7.68,0.06,0.11,13.5,0.044900,20.67,730,-0.4
Nov-17,7.04,0.06,0.11,13.5,0.045100,20.67,731,-0.28
Dec-17,6.8,0.06,0.11,13.7,0.045400,20.67,732,-0.67
Jan-18,7.21,0.06,0.1,14,0.045700,20.67,733,-0.42
Feb-18,7.43,0.06,0.1,14.1,0.045600,20.67,734,-0.31
Mar-18,7.28,0.06,0.1,14,0.045600,20.67,735,-0.24
Apr-18,7.21,0.05,0.1,14.2,0.045500,20.67,736,-0.45
May-18,7.44,0.05,0.1,14.5,0.045500,20.67,737,-0.45
Jun-18,7.45,0.05,0.09,14.7,0.045400,20.67,738,-0.35
Jul-18,7.51,0.05,0.09,15.1,0.045400,20.67,739,-0.31
Aug-18,7.58,0.05,0.09,15.4,0.045300,20.67,740,-0.29
Sep-18,7.54,0.05,0.09,15.7,0.045200,20.67,741,-0.15
Oct-18,7.86,0.05,0.09,16,0.045200,20.67,742,-0.05
Nov-18,8.06,0.05,0.08,16.3,0.045100,20.67,743,-0.1
Dec-18,7.9,0.05,0.08,16.5,0.045100,20.67,744,-0.27
Jan-19,7.85,0.05,0.08,16.5,0.045000,20.67,745,-0.2
Feb-19,7.88,0.05,0.08,16.2,0.045400,20.67,746,-0.23
Mar-19,8.12,0.05,0.08,16.4,0.045800,20.67,747,-0.19
Apr-19,8.39,0.05,0.08,16.7,0.046200,20.67,748,-0.13
May-19,8.97,0.05,0.08,16.9,0.046600,20.67,749,-0.28
Jun-19,9.21,0.05,0.08,16.9,0.047000,20.67,750,-0.37
Jul-19,9.51,0.05,0.08,17.4,0.047400,20.67,751,-0.29
Aug-19,8.87,0.05,0.08,17.7,0.047700,20.67,752,-0.32
Sep-19,9.01,0.05,0.08,17.8,0.048100,20.67,753,-0.22
Oct-19,9.47,0.04,0.08,18.1,0.048500,20.67,754,-0.18
Nov-19,9.19,0.04,0.08,18.5,0.048900,20.67,755,-0.41
Dec-19,8.92,0.04,0.08,18.9,0.049300,20.67,756,-0.41
Jan-20,8.83,0.04,0.08,19.3,0.049700,20.67,757,-0.22
Feb-20,8.1,0.04,0.08,19.5,0.049800,20.67,758,-0.22
Mar-20,8.67,0.04,0.07,19.7,0.049900,20.67,759,-0.07
Apr-20,8.6,0.04,0.07,20.3,0.050000,20.67,760,-0.26
May-20,8.06,0.04,0.07,20.6,0.050100,20.67,761,-0.26
Jun-20,7.92,0.04,0.07,20.9,0.050200,20.67,762,-0.36
Jul-20,7.91,0.04,0.07,20.8,0.050300,20.67,763,-0.31
Aug-20,7.6,0.04,0.07,20.3,0.050400,20.67,764,-0.24
Sep-20,7.87,0.04,0.07,20,0.050500,20.67,765,-0.19
Oct-20,7.88,0.04,0.07,19.9,0.050600,20.67,766,-0.26
Nov-20,7.48,0.04,0.07,19.8,0.050700,20.67,767,-0.26
Dec-20,6.81,0.04,0.07,19.4,0.050800,20.67,768,-0.43
Jan-21,7.11,0.04,0.06,19,0.050900,20.67,769,-0.02
Feb-21,7.06,0.04,0.06,18.4,0.050200,20.67,770,-0.18
Mar-21,6.88,0.04,0.06,18.3,0.049600,20.67,664,-0.22
Apr-21,6.91,0.04,0.05,18.1,0.048900,20.67,665,-0.29
May-21,7.12,0.04,0.05,17.7,0.048300,20.67,666,-0.28
Jun-21,6.55,0.04,0.05,17.6,0.047600,20.67,667,-0.27
Jul-21,6.53,0.04,0.04,17.7,0.047000,20.67,668,-0.14
Aug-21,6.45,0.04,0.04,17.7,0.046300,20.67,669,-0.23
Sep-21,6.61,0.04,0.03,17.5,0.045600,20.67,670,-0.16
Oct-21,6.7,0.04,0.03,17.5,0.045000,20.67,671,-0.02
Nov-21,7.06,0.04,0.03,17.4,0.044300,20.67,672,-0.13
Dec-21,7.31,0.04,0.02,17.3,0.043700,20.67,673,-0.16
Jan-22,7.3,0.04,0.03,16.9,0.043000,20.67,674,-0.33
Feb-22,7.46,0.04,0.03,16.9,0.043100,20.67,675,-0.43
Mar-22,7.74,0.04,0.03,16.7,0.043100,20.67,676,-0.13
Apr-22,8.21,0.04,0.04,16.7,0.043200,20.67,677,-0.23
May-22,8.53,0.04,0.04,16.7,0.043200,20.67,678,-0.33
Jun-22,8.45,0.04,0.04,16.7,0.043300,20.67,679,-0.32
Jul-22,8.51,0.04,0.04,16.8,0.043300,20.67,680,-0.25
Aug-22,8.83,0.04,0.05,16.6,0.043400,20.67,681,-0.3
Sep-22,9.06,0.04,0.05,16.6,0.043400,20.67,682,-0.32
Oct-22,9.26,0.04,0.05,16.7,0.043500,20.67,683,-0.31
Nov-22,8.8,0.04,0.05,16.8,0.043500,20.67,684,-0.13
Dec-22,8.78,0.04,0.06,16.9,0.043600,20.67,685,-0.18
Jan-23,8.9,0.04,0.06,16.8,0.043600,20.67,686,-0.29
Feb-23,9.28,0.04,0.06,16.8,0.043400,20.67,687,-0.37
Mar-23,9.43,0.04,0.06,16.8,0.043100,20.67,688,-0.34
Apr-23,9.1,0.04,0.07,16.9,0.042900,20.67,689,-0.39
May-23,8.67,0.04,0.07,16.9,0.042600,20.67,690,-0.34
Jun-23,8.34,0.04,0.07,17,0.042400,20.67,691,-0.25
Jul-23,8.06,0.04,0.07,17.2,0.042100,20.67,692,-0.29
Aug-23,8.1,0.04,0.07,17.1,0.041900,20.67,613,-0.29
Sep-23,8.15,0.04,0.08,17.2,0.041600,20.67,614,-0.27
Oct-23,8.03,0.04,0.08,17.3,0.041400,20.67,615,-0.11
Nov-23,8.27,0.04,0.08,17.3,0.041100,20.67,616,0.01
Dec-23,8.55,0.04,0.08,17.3,0.040900,20.67,617,-0.02
Jan-24,8.83,0.04,0.08,17.3,0.040600,20.67,618,-0.22
Feb-24,8.87,0.04,0.08,17.2,0.040400,20.67,619,-0.23
Mar-24,8.7,0.04,0.08,17.1,0.040300,20.67,620,-0.06
Apr-24,8.5,0.04,0.08,17,0.040100,20.67,621,-0.31
May-24,8.47,0.04,0.08,17,0.039900,20.67,622,-0.18
Jun-24,8.63,0.05,0.08,17,0.039800,20.67,623,-0.22
Jul-24,9.03,0.05,0.08,17.1,0.039600,20.67,624,-0.26
Aug-24,9.34,0.05,0.08,17,0.039400,20.67,625,-0.33
Sep-24,9.25,0.05,0.08,17.1,0.039300,20.67,626,-0.3
Oct-24,9.13,0.05,0.08,17.2,0.039100,20.67,627,-0.33
Nov-24,9.64,0.05,0.08,17.2,0.038900,20.67,628,-0.19
Dec-24,10.16,0.05,0.08,17.3,0.038800,20.67,629,-0.41
Jan-25,10.58,0.05,0.08,17.3,0.038600,20.67,630,-0.36
Feb-25,10.67,0.05,0.08,17.2,0.038500,20.67,631,-0.38
Mar-25,10.39,0.05,0.08,17.3,0.038300,20.67,632,-0.24
Apr-25,10.28,0.05,0.09,17.2,0.038200,20.67,633,-0.25
May-25,10.61,0.05,0.09,17.3,0.038000,20.67,634,-0.3
Jun-25,10.8,0.05,0.09,17.5,0.037900,20.67,635,-0.32
Jul-25,11.1,0.05,0.09,17.7,0.037700,20.67,636,-0.27
Aug-25,11.25,0.05,0.1,17.7,0.037600,20.67,637,-0.15
Sep-25,11.51,0.05,0.1,17.7,0.037400,20.67,638,-0.16
Oct-25,11.89,0.05,0.1,17.7,0.037300,20.67,639,-0.17
Nov-25,12.26,0.05,0.1,18,0.037100,20.67,640,0.04
Dec-25,12.46,0.05,0.1,17.9,0.037000,20.67,641,0.09
Jan-26,12.65,0.05,0.1,17.9,0.036800,20.67,642,0.2
Feb-26,12.67,0.05,0.1,17.9,0.036500,20.67,643,0.06
Mar-26,11.81,0.05,0.1,17.8,0.036200,20.67,644,0.11
Apr-26,11.48,0.05,0.1,17.9,0.036000,20.67,645,-0.12
May-26,11.56,0.05,0.1,17.8,0.035700,20.67,646,-0.22
Jun-26,12.11,0.05,0.1,17.7,0.035400,20.67,647,-0.22
Jul-26,12.62,0.05,0.1,17.5,0.035100,20.67,648,-0.24
Aug-26,13.12,0.06,0.1,17.4,0.034800,20.67,649,-0.13
Sep-26,13.32,0.06,0.1,17.5,0.034500,20.67,650,-0.12
Oct-26,13.02,0.06,0.1,17.6,0.034300,20.67,651,-0.09
Nov-26,13.19,0.06,0.1,17.7,0.034000,20.67,652,-0.04
Dec-26,13.49,0.06,0.1,17.7,0.033700,20.67,653,-0.27
Jan-27,13.4,0.06,0.1,17.5,0.033400,20.67,654,-0.27
Feb-27,13.66,0.06,0.1,17.4,0.033400,20.67,655,-0.18
Mar-27,13.87,0.06,0.1,17.3,0.033400,20.67,656,-0.36
Apr-27,14.21,0.06,0.1,17.3,0.033400,20.67,657,-0.31
May-27,14.7,0.06,0.1,17.4,0.033400,20.67,658,-0.25
Jun-27,14.89,0.06,0.1,17.6,0.033400,20.67,659,-0.26
Jul-27,15.22,0.06,0.1,17.3,0.033400,20.67,660,-0.17
Aug-27,16.03,0.06,0.1,17.2,0.033300,20.67,661,-0.2
Sep-27,16.94,0.06,0.1,17.3,0.033300,20.67,662,-0.1
Oct-27,16.68,0.06,0.09,17.4,0.033300,20.67,663,0
Nov-27,17.06,0.06,0.09,17.3,0.033300,20.67,664,-0.03
Dec-27,17.46,0.06,0.09,17.3,0.033300,20.67,665,-0.32
Jan-28,17.53,0.06,0.09,17.3,0.033300,20.67,666,0
Feb-28,17.32,0.07,0.1,17.1,0.033500,20.67,667,-0.07
Mar-28,18.25,0.07,0.1,17.1,0.033800,20.67,668,-0.26
Apr-28,19.4,0.07,0.1,17.1,0.034000,20.67,669,-0.27
May-28,20,0.07,0.1,17.2,0.034200,20.67,670,-0.29
Jun-28,19.02,0.07,0.1,17.1,0.034400,20.67,671,-0.36
Jul-28,19.16,0.07,0.11,17.1,0.034700,20.67,672,-0.18
Aug-28,19.78,0.07,0.11,17.1,0.034900,20.67,673,-0.21
Sep-28,21.17,0.07,0.11,17.3,0.035100,20.67,674,-0.18
Oct-28,21.6,0.07,0.11,17.2,0.035300,20.67,675,-0.17
Nov-28,23.06,0.07,0.11,17.2,0.035600,20.67,676,-0.08
Dec-28,23.15,0.07,0.12,17.1,0.035800,20.67,677,-0.17
Jan-29,24.86,0.07,0.12,17.1,0.036000,20.67,678,-0.46
Feb-29,24.99,0.07,0.12,17.1,0.035700,20.67,679,-0.59
Mar-29,25.43,0.07,0.12,17,0.035500,20.67,655,-0.31
Apr-29,25.28,0.07,0.12,16.9,0.035200,20.67,656,-0.39
May-29,25.66,0.08,0.12,17,0.035000,20.67,657,-0.38
Jun-29,26.15,0.08,0.12,17.1,0.034700,20.67,658,-0.4
Jul-29,28.48,0.08,0.13,17.3,0.034500,20.67,659,-0.33
Aug-29,30.1,0.08,0.13,17.3,0.034200,20.67,660,-0.3
Sep-29,31.3,0.08,0.13,17.3,0.033900,20.67,661,-0.23
Oct-29,27.99,0.08,0.13,17.3,0.033700,20.67,662,-0.12
Nov-29,20.58,0.08,0.13,17.3,0.033400,20.67,663,-0.11
Dec-29,21.4,0.08,0.13,17.2,0.033200,20.67,664,-0.53
Jan-30,21.71,0.08,0.13,17.1,0.032900,20.67,665,-0.3
Feb-30,23.07,0.08,0.13,17,0.032900,20.67,666,-0.27
Mar-30,23.94,0.08,0.12,16.9,0.033000,20.67,667,-0.08
Apr-30,25.46,0.08,0.12,17,0.033000,20.67,668,-0.25
May-30,23.94,0.08,0.11,16.9,0.033100,20.67,669,-0.23
Jun-30,21.52,0.08,0.11,16.8,0.033100,20.67,670,-0.2
Jul-30,21.06,0.08,0.1,16.6,0.033200,20.67,671,-0.19
Aug-30,20.79,0.08,0.1,16.5,0.033200,20.67,672,-0.13
Sep-30,20.78,0.08,0.09,16.6,0.033200,20.67,673,-0.12
Oct-30,17.92,0.08,0.09,16.5,0.033300,20.67,674,-0.08
Nov-30,16.62,0.08,0.09,16.4,0.033300,20.67,675,0.16
Dec-30,15.51,0.08,0.08,16.1,0.033400,20.67,676,-0.06
Jan-31,15.98,0.08,0.08,15.9,0.033400,20.67,677,-0.1
Feb-31,17.2,0.08,0.08,15.7,0.033700,20.67,678,-0.24
Mar-31,17.53,0.08,0.07,15.6,0.034000,20.67,679,-0.08
Apr-31,15.86,0.08,0.07,15.5,0.034300,20.67,680,-0.21
May-31,14.33,0.08,0.07,15.3,0.034500,20.67,681,-0.19
Jun-31,13.87,0.08,0.07,15.1,0.034800,20.67,682,-0.07
Jul-31,14.33,0.07,0.06,15.1,0.035100,20.67,683,-0.02
Aug-31,13.9,0.07,0.06,15.1,0.035400,20.67,684,-0.03
Sep-31,11.83,0.07,0.06,15,0.035700,20.67,685,-0.07
Oct-31,10.25,0.07,0.06,14.9,0.036000,20.67,686,0.03
Nov-31,10.39,0.07,0.05,14.7,0.036200,20.67,687,-0.11
Dec-31,8.44,0.07,0.05,14.6,0.036500,20.67,688,-0.09
Jan-32,8.3,0.07,0.05,14.3,0.036800,20.67,689,0.14
Feb-32,8.23,0.06,0.05,14.1,0.036500,20.67,690,-0.18
Mar-32,8.26,0.06,0.05,14,0.036200,20.67,691,-0.19
Apr-32,6.28,0.06,0.05,13.9,0.035900,20.67,692,-0.06
May-32,5.51,0.06,0.04,13.7,0.035600,20.67,693,-0.19
Jun-32,4.77,0.06,0.04,13.6,0.035300,20.67,694,-0.3
Jul-32,5.01,0.05,0.04,13.6,0.035000,20.67,695,-0.24
Aug-32,7.53,0.05,0.04,13.5,0.034600,20.67,696,-0.23
Sep-32,8.26,0.05,0.04,13.4,0.034300,20.67,697,-0.11
Oct-32,7.12,0.05,0.04,13.3,0.034000,20.67,698,-0.1
Nov-32,7.05,0.04,0.04,13.2,0.033700,20.67,699,-0.26
Dec-32,6.82,0.04,0.03,13.1,0.033400,20.67,700,-0.25
Jan-33,7.09,0.04,0.03,12.9,0.033100,32.32,701,-0.34
Feb-33,6.25,0.04,0.03,12.7,0.032900,32.32,702,-0.34
Mar-33,6.23,0.04,0.03,12.6,0.032800,32.32,614,-0.3
Apr-33,6.89,0.04,0.04,12.6,0.032600,32.32,615,-0.25
May-33,8.87,0.04,0.04,12.6,0.032500,32.32,616,-0.29
Jun-33,10.39,0.04,0.04,12.7,0.032300,32.32,617,-0.34
Jul-33,11.23,0.04,0.04,13.1,0.032200,32.32,618,-0.21
Aug-33,10.67,0.04,0.04,13.2,0.032000,32.32,619,-0.24
Sep-33,10.58,0.04,0.04,13.2,0.031800,32.32,620,-0.27
Oct-33,9.55,0.04,0.04,13.2,0.031700,32.32,621,-0.21
Nov-33,9.78,0.04,0.04,13.2,0.031500,32.32,622,-0.3
Dec-33,9.97,0.04,0.04,13.2,0.031400,32.32,623,-0.46
Jan-34,10.54,0.04,0.04,13.2,0.031200,35,624,-0.25
Feb-34,11.32,0.04,0.04,13.3,0.030900,35,625,-0.04
Mar-34,10.74,0.04,0.04,13.3,0.030700,35,626,-0.33
Apr-34,10.92,0.04,0.04,13.3,0.030400,35,627,-0.3
May-34,9.81,0.04,0.04,13.3,0.030100,35,628,-0.11
Jun-34,9.94,0.04,0.04,13.4,0.029800,35,629,-0.15
Jul-34,9.47,0.04,0.04,13.4,0.029600,35,630,-0.1
Aug-34,9.1,0.04,0.04,13.4,0.029300,35,631,-0.11
Sep-34,8.88,0.04,0.04,13.6,0.029000,35,632,-0.16
Oct-34,8.95,0.04,0.04,13.5,0.028700,35,633,-0.08
Nov-34,9.2,0.04,0.04,13.5,0.028500,35,634,0.03
Dec-34,9.26,0.04,0.04,13.4,0.028200,35,635,-0.04
Jan-35,9.26,0.04,0.05,13.6,0.027900,35,636,-0.33
Feb-35,8.98,0.04,0.05,13.7,0.027800,35,637,0.15
Mar-35,8.41,0.04,0.06,13.7,0.027700,35,638,-0.13
Apr-35,9.04,0.04,0.06,13.8,0.027600,35,639,-0.36
May-35,9.75,0.04,0.07,13.8,0.027400,35,640,-0.3
Jun-35,10.12,0.04,0.07,13.7,0.027300,35,641,-0.27
Jul-35,10.65,0.04,0.07,13.7,0.027200,35,642,-0.23
Aug-35,11.37,0.04,0.06,13.7,0.027100,35,643,-0.22
Sep-35,11.61,0.04,0.06,13.7,0.027000,35,644,-0.21
Oct-35,11.92,0.04,0.06,13.7,0.026900,35,645,-0.08
Nov-35,13.04,0.04,0.06,13.8,0.026700,35,646,-0.28
Dec-35,13.04,0.04,0.06,13.8,0.026600,35,647,-0.2
Jan-36,13.76,0.04,0.06,13.8,0.026500,35,648,-0.28
Feb-36,14.55,0.04,0.07,13.8,0.026500,35,649,-0.39
Mar-36,14.86,0.04,0.07,13.7,0.026600,35,650,-0.22
Apr-36,14.88,0.04,0.07,13.7,0.026600,35,651,-0.2
May-36,14.09,0.04,0.07,13.7,0.026600,35,652,-0.18
Jun-36,14.69,0.05,0.07,13.8,0.026600,35,653,-0.21
Jul-36,15.56,0.05,0.08,13.9,0.026700,35,654,-0.08
Aug-36,15.87,0.05,0.08,14,0.026700,35,655,-0.14
Sep-36,16.05,0.05,0.08,14,0.026700,35,656,-0.09
Oct-36,16.89,0.05,0.08,14,0.026700,35,657,-0.04
Nov-36,17.36,0.06,0.08,14,0.026800,35,658,-0.04
Dec-36,17.06,0.06,0.09,14,0.026800,35,659,-0.03
Jan-37,17.59,0.06,0.09,14.1,0.026800,35,660,-0.13
Feb-37,18.11,0.06,0.09,14.1,0.026700,35,661,0.03
Mar-37,18.09,0.06,0.09,14.2,0.026600,35,662,-0.18
Apr-37,17.01,0.07,0.09,14.3,0.026500,35,663,-0.17
May-37,16.25,0.07,0.1,14.4,0.026400,35,664,-0.08
Jun-37,15.64,0.07,0.1,14.4,0.026300,35,665,-0.05
Jul-37,16.57,0.07,0.1,14.5,0.026200,35,666,-0.05
Aug-37,16.74,0.07,0.1,14.5,0.026100,35,667,0.01
Sep-37,14.37,0.06,0.1,14.6,0.026000,35,668,0.11
Oct-37,12.28,0.07,0.1,14.6,0.025900,35,669,0.08
Nov-37,11.2,0.07,0.1,14.5,0.025800,35,670,0.09
Dec-37,11.02,0.07,0.09,14.4,0.025700,35,671,-0.12
Jan-38,11.31,0.07,0.09,14.2,0.025600,35,672,0.01
Feb-38,11.04,0.07,0.09,14.1,0.025400,35,673,-0.02
Mar-38,10.31,0.07,0.08,14.1,0.025300,35,674,0.08
Apr-38,9.89,0.06,0.08,14.2,0.025100,35,675,0.04
May-38,9.98,0.06,0.07,14.1,0.024900,35,676,-0.1
Jun-38,10.21,0.06,0.06,14.1,0.024800,35,677,-0.18
Jul-38,12.24,0.06,0.06,14.1,0.024600,35,678,-0.09
Aug-38,12.31,0.06,0.06,14.1,0.024400,35,679,-0.06
Sep-38,11.75,0.06,0.05,14.1,0.024300,35,680,0.02
Oct-38,13.06,0.05,0.05,14,0.024100,35,681,0.11
Nov-38,13.07,0.05,0.05,14,0.023900,35,682,0.03
Dec-38,12.69,0.04,0.05,14,0.023800,35,683,-0.22
Jan-39,12.5,0.04,0.06,14,0.023600,35,684,-0.08
Feb-39,12.4,0.04,0.06,13.9,0.023500,35,685,-0.08
Mar-39,12.39,0.04,0.06,13.9,0.023400,35,686,-0.19
Apr-39,10.83,0.04,0.06,13.8,0.023200,35,687,-0.1
May-39,11.23,0.04,0.06,13.8,0.023100,35,688,-0.06
Jun-39,11.43,0.04,0.06,13.8,0.023000,35,689,-0.08
Jul-39,11.71,0.05,0.06,13.8,0.022900,35,690,-0.08
Aug-39,11.54,0.05,0.07,13.8,0.022700,35,691,-0.08
Sep-39,12.77,0.05,0.07,14.1,0.022600,35,692,-0.07
Oct-39,12.9,0.05,0.07,14,0.022500,35,693,-0.03
Nov-39,12.67,0.05,0.07,14,0.022400,35,694,0.05
Dec-39,12.37,0.05,0.08,14,0.022200,35,695,0.44
Jan-40,12.3,0.05,0.08,13.9,0.022100,34.5,696,-0.06
Feb-40,12.22,0.05,0.08,14,0.021900,34.5,697,0.12
Mar-40,12.15,0.05,0.08,14,0.021700,34.5,698,0.15
Apr-40,12.27,0.05,0.08,14,0.021500,34.5,699,0.18
May-40,10.58,0.05,0.09,14,0.021200,34.5,700,0.09
Jun-40,9.67,0.05,0.09,14.1,0.021000,34.5,701,0.08
Jul-40,9.99,0.05,0.09,14,0.020800,34.5,702,0.12
Aug-40,10.2,0.06,0.09,14,0.020600,34.5,703,0.04
Sep-40,10.63,0.06,0.09,14,0.020400,34.5,704,0.12
Oct-40,10.73,0.06,0.09,14,0.020200,34.5,705,0.07
Nov-40,10.98,0.06,0.09,14,0.019900,34.5,706,0.17
Dec-40,10.53,0.06,0.09,14.1,0.019700,34.5,707,0.27
Jan-41,10.55,0.06,0.09,14.1,0.019500,35.5,708,0.21
Feb-41,9.89,0.06,0.09,14.1,0.019900,35.5,709,0.33
Mar-41,9.95,0.06,0.09,14.2,0.020400,35.5,710,0.08
Apr-41,9.64,0.06,0.09,14.3,0.020800,35.5,711,0.17
May-41,9.43,0.06,0.09,14.4,0.021200,35.5,712,0.14
Jun-41,9.76,0.06,0.09,14.7,0.021600,35.5,713,0.11
Jul-41,10.26,0.06,0.09,14.7,0.022100,35.5,714,0.21
Aug-41,10.21,0.06,0.1,14.9,0.022500,35.5,715,0.14
Sep-41,10.24,0.06,0.1,15.1,0.022900,35.5,716,0.02
Oct-41,9.83,0.06,0.1,15.3,0.023300,35.5,717,0.33
Nov-41,9.37,0.06,0.1,15.4,0.023800,35.5,718,0.24
Dec-41,8.76,0.06,0.1,15.5,0.024200,35.5,719,0.2
Jan-42,8.93,0.06,0.09,15.7,0.024600,35.5,720,0.25
Feb-42,8.65,0.06,0.09,15.8,0.024600,35.5,721,0.02
Mar-42,8.18,0.06,0.09,16,0.024600,35.5,722,0.1
Apr-42,7.84,0.06,0.09,16.1,0.024600,35.5,723,0.11
May-42,7.93,0.06,0.08,16.3,0.024600,35.5,724,0.08
